Timestamp,PID,Name,CPU (%),Memory (GB),LLM Model
2025-04-09 13:19:55,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:19:55,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:19:56,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:19:56,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:19:57,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:19:58,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:19:59,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:19:59,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:00,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:00,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:01,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:02,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:03,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:03,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:04,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:04,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:05,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:06,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:07,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:07,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:08,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:08,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:09,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:10,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:11,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:11,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:12,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:12,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:14,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:14,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:15,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:15,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:16,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:16,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:18,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:18,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:19,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:19,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:20,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:20,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:22,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:22,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:23,5652,ollama.exe,0.0,0.025424957275390625,
2025-04-09 13:20:23,15508,ollama app.exe,0.0,0.022533416748046875,
2025-04-09 13:20:24,5652,ollama.exe,0.0,0.025424957275390625,
